Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,165,180,Texas,7730337.0
Jae Crowder,Boston Celtics,99,SF,25,154,235,Marquette,6796117.0
John Holland,Boston Celtics,30,SG,27,173,205,Boston University,4833970.0
R.J. Hunter,Boston Celtics,28,SG,22,171,185,Georgia State,1148640.0
Jonas Jerebko,Boston Celtics,8,PF,29,155,231,Arizona,5000000.0
Amir Johnson,Boston Celtics,90,PF,29,159,240,Arizona,12000000.0
Jordan Mickey,Boston Celtics,55,PF,21,158,235,LSU,1170960.0
Kelly Olynyk,Boston Celtics,41,C,25,180,238,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,12,PG,22,166,190,Louisville,1824360.0
Marcus Smart,Boston Celtics,36,PG,22,166,220,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,7,C,24,157,260,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,4,PG,27,156,185,Washington,6912869.0
Evan Turner,Boston Celtics,11,SG,27,164,220,Ohio State,3425510.0
James Young,Boston Celtics,13,SG,20,154,215,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,44,C,26,156,253,North Carolina,2616975.0
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,154,216,Arizona,3425510.0
Markel Brown,Brooklyn Nets,22,SG,24,170,190,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,21,SG,28,178,200,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,171,220,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,2,PG,32,176,200,Georgia Tech,6300000.0
Sergey Karasev,Brooklyn Nets,10,SG,22,163,208,Arizona,1599840.0
Sean Kilpatrick,Brooklyn Nets,6,SG,26,179,219,Cincinnati,134215.0
Shane Larkin,Brooklyn Nets,0,PG,23,150,175,Miami (FL),1500000.0
Brook Lopez,Brooklyn Nets,11,C,28,168,275,Stanford,19689000.0
Chris McCullough,Brooklyn Nets,1,PF,21,179,200,Syracuse,1140240.0
Willie Reed,Brooklyn Nets,33,PF,26,168,220,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,41,PF,25,167,237,Kansas,981348.0
Henry Sims,Brooklyn Nets,14,C,26,156,248,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,15,PG,28,171,205,Texas A&M,947276.0
Thaddeus Young,Brooklyn Nets,30,PF,27,153,221,Georgia Tech,11235955.0
Arron Afflalo,New York Knicks,4,SG,30,157,210,UCLA,8000000.0
Lou Amundson,New York Knicks,17,PF,33,173,220,UNLV,1635476.0
Thanasis Antetokounmpo,New York Knicks,43,SF,23,179,205,Arizona,30888.0
Carmelo Anthony,New York Knicks,7,SF,32,164,240,Syracuse,22875000.0
Jose Calderon,New York Knicks,3,PG,34,173,200,Arizona,7402812.0
Cleanthony Early,New York Knicks,11,SF,25,177,210,Wichita State,845059.0
Langston Galloway,New York Knicks,2,SG,24,176,200,Saint Joseph's,845059.0
Jerian Grant,New York Knicks,13,PG,23,172,195,Notre Dame,1572360.0
Robin Lopez,New York Knicks,8,C,28,175,255,Stanford,12650000.0
Kyle O'Quinn,New York Knicks,9,PF,26,155,250,Norfolk State,3750000.0
Kristaps Porzingis,New York Knicks,6,PF,20,150,240,Arizona,4131720.0
Kevin Seraphin,New York Knicks,1,C,26,169,278,Arizona,2814000.0
